iter	Passed	Remaining
405	6807	14369
406	6824	14352
407	6841	14337
408	6859	14322
409	6875	14303
410	6892	14288
411	6908	14270
412	6926	14255
413	6943	14239
414	6959	14220
415	6973	14199
416	6992	14185
417	7010	14172
418	7031	14162
419	7050	14151
420	7068	14136
421	7084	14118
422	7102	14104
423	7124	14098
424	7145	14088
425	7164	14077
426	7184	14065
427	7203	14054
428	7223	14043
429	7237	14020
430	7252	13999
431	7268	13982
432	7287	13969
433	7305	13955
434	7323	13939
435	7338	13920
436	7355	13903
437	7374	13890
438	7389	13870
439	7407	13855
440	7421	13832
441	7435	13811
442	7453	13795
443	7471	13781
444	7489	13767
445	7508	13753
446	7525	13737
447	7543	13723
448	7559	13704
449	7576	13688
450	7592	13669
451	7610	13655
452	7629	13641
453	7648	13629
454	7666	13614
455	7682	13595
456	7702	13583
457	7720	13569
458	7736	13551
459	7754	13535
460	7769	13517
461	7787	13502
462	7804	13485
463	7823	13471
464	7839	13453
465	7856	13437
466	7873	13420
467	7889	13402
468	7906	13385
469	7919	13362
470	7938	13349
471	7955	13332
472	7974	13318
473	7989	13299
474	8007	13283
475	8023	13265
476	8042	13253
477	8058	13234
478	8074	13216
479	8091	13199
480	8106	13178
481	8123	13162
482	8137	13141
483	8153	13122
484	8169	13104
485	8184	13084
486	8200	13067
487	8216	13049
488	8234	13033
489	8252	13018
490	8267	12999
491	8284	12982
492	8300	12964
493	8317	12947
494	8335	12933
495	8352	12916
496	8369	12898
497	8385	12880
498	8400	12861
499	8416	12843
500	8434	12828
501	8450	12810
502	8467	12793
503	8484	12777
504	8498	12756
505	8515	12740
506	8535	12727
507	8552	12710
508	8568	12692
509	8582	12672
510	8597	12652
511	8615	12636
512	8626	12612
513	8641	12592
514	8658	12575
515	8675	12558
516	8688	12537
517	8705	12520
518	8720	12500
519	8735	12482
520	8755	12469
521	8774	12455
522	8791	12439
523	8806	12420
524	8824	12404
525	8840	12386
526	8857	12370
527	8875	12355
528	8892	12338
529	8910	12323
530	8923	12301
531	8941	12286
532	8960	12272
533	8979	12258
534	8998	12244
535	9016	12228
536	9031	12209
537	9047	12192
538	9062	12172
539	9078	12155
540	9094	12137
541	9109	12117
542	9125	12099
543	9139	12079
544	9153	12059
545	9169	12041
546	9184	12021
547	9201	12006
548	9216	11985
549	9231	11967
550	9246	11947
551	9260	11927
552	9272	11904
553	9288	11887
554	9303	11868
555	9320	11852
556	9337	11835
557	9353	11817
558	9369	11799
559	9385	11782
560	9402	11765
